ciudad,codigo_dominio,anio,meses_incluidos,bloque_indicador,nombre_indicador,valor,error_estandar,ic95_inf,ic95_sup,deff,n_muestral,cv_pct,etiqueta_confiabilidad,fuente,observacion
Armenia,63,2024,Ene-Dic (12 meses),arriendo,Canon de arriendo mensual - promedio,653253.33,5733.8226,641513.4496,664210.1569,1.2731,4397,0.8777,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",25 registro(s) excluidos por valor extremo
Armenia,63,2024,Ene-Dic (12 meses),deficit_habitacional,Deficit habitacional cualitativo,ND - pendiente Fase 2 (ECV),,,,,0,,ND,ECV (fuera de alcance Fase 1),ND - pendiente Fase 2 (ECV): fuente fuera de alcance de Fase 1
Armenia,63,2024,Ene-Dic (12 meses),deficit_habitacional,Deficit habitacional cuantitativo,ND - pendiente Fase 2 (ECV),,,,,0,,ND,ECV (fuera de alcance Fase 1),ND - pendiente Fase 2 (ECV): fuente fuera de alcance de Fase 1
Armenia,63,2024,Ene-Dic (12 meses),deficit_habitacional,Distribucion por estrato socioeconomico,ND - pendiente Fase 2 (ECV),,,,,0,,ND,ECV (fuera de alcance Fase 1),ND - pendiente Fase 2 (ECV): fuente fuera de alcance de Fase 1
Armenia,63,2024,Ene-Dic (12 meses),esfuerzo_financiero,Arrendatarios que destinan >30% del ingreso al arriendo,39.8,,,,,4371,,ACEPTABLE,"Pobreza Monetaria 2024 (DANE, catalogo ANDA 874)",sobrecarga (>30%)
Armenia,63,2024,Ene-Dic (12 meses),esfuerzo_financiero,Arrendatarios que destinan >50% del ingreso al arriendo,13.24,,,,,4371,,ACEPTABLE,"Pobreza Monetaria 2024 (DANE, catalogo ANDA 874)",sobrecarga severa (>50%)
Armenia,63,2024,Ene-Dic (12 meses),esfuerzo_financiero,Arriendo/ingreso del hogar (mediana),25.9,,,,,4371,,ACEPTABLE,"Pobreza Monetaria 2024 (DANE, catalogo ANDA 874)",Merge con 99.2% de coincidencia
Armenia,63,2024,Ene-Dic (12 meses),hacinamiento,Hogares con hacinamiento (>3 personas/cuarto para dormir),0.89,0.1226,0.6819,1.1754,1.5004,8818,13.7543,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)","Umbral >3 sobre CUARTOS PARA DORMIR (P5010), no cuartos totales"
Armenia,63,2024,Ene-Dic (12 meses),hacinamiento,Hogares con hacinamiento critico NBI (>3 personas/cuarto TOTAL),0.2,,,,,8818,,NO PUBLICAR,"GEIH 2024 (DANE, catalogo ANDA 819)",Definicion oficial DANE-NBI (cuartos totales incl. sala-comedor)
Armenia,63,2024,Ene-Dic (12 meses),hacinamiento,Personas por cuarto para dormir - mediana,1.33,,,,,8818,,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),hacinamiento,Personas por cuarto para dormir - promedio,1.44,0.0063,1.4308,1.4562,1.1544,8818,0.4340,EXCELENTE,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),ingreso_pobreza,% arrendatarios en pobreza monetaria,28.07,,,,,4434,,ACEPTABLE,"Pobreza Monetaria 2024 (DANE, catalogo ANDA 874)",
Armenia,63,2024,Ene-Dic (12 meses),ingreso_pobreza,% hogares no pobres que viven en arriendo,46.87,,,,,6996,,ACEPTABLE,"Pobreza Monetaria 2024 (DANE, catalogo ANDA 874)",
Armenia,63,2024,Ene-Dic (12 meses),ingreso_pobreza,% hogares pobres que viven en arriendo,65.18,,,,,1822,,ACEPTABLE,"Pobreza Monetaria 2024 (DANE, catalogo ANDA 874)",
Armenia,63,2024,Ene-Dic (12 meses),ingreso_pobreza,% propietarios en pobreza monetaria,10.93,,,,,3135,,ACEPTABLE,"Pobreza Monetaria 2024 (DANE, catalogo ANDA 874)",
Armenia,63,2024,Ene-Dic (12 meses),ingreso_pobreza,Brecha de ingreso propietarios vs arrendatarios,37.78,,,,,0,,NO_APLICA,"Pobreza Monetaria 2024 (DANE, catalogo ANDA 874)",(+) = propietarios ganan mas; calculado sobre medianas ponderadas
Armenia,63,2024,Ene-Dic (12 meses),ingreso_pobreza,Ingreso mediano hogares arrendatarios,2177391.42,,,,,4408,,ACEPTABLE,"Pobreza Monetaria 2024 (DANE, catalogo ANDA 874)",ingtotug = ingreso total unidad de gasto SIN imputar arriendo
Armenia,63,2024,Ene-Dic (12 meses),ingreso_pobreza,Ingreso mediano hogares propietarios,3000000.0,,,,,3109,,ACEPTABLE,"Pobreza Monetaria 2024 (DANE, catalogo ANDA 874)",ingtotug = ingreso total unidad de gasto SIN imputar arriendo
Armenia,63,2024,Ene-Dic (12 meses),servicios_publicos,Hogares sin acueducto,0.29,0.0679,0.1815,0.4333,1.4273,8818,23.7670,PRECAUCION,"GEIH 2024 (DANE, catalogo ANDA 819)",
Armenia,63,2024,Ene-Dic (12 meses),servicios_publicos,Hogares sin alcantarillado,1.11,0.1266,0.8797,1.3634,1.2860,8818,11.3902,ACEPTABLE,"GEIH 2024 (DANE, catalogo ANDA 819)",
