tipo_prueba,ciudad_nombre,anio,indicador,resultado,evidencia
SENSIBILIDAD_OUTLIERS,Pereira A.M.,2025,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Pereira A.M.,2025,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Pereira A.M.,2026*,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Pereira A.M.,2026*,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cúcuta A.M.,2023,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cúcuta A.M.,2023,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cúcuta A.M.,2024,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cúcuta A.M.,2024,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cúcuta A.M.,2025,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cúcuta A.M.,2025,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cúcuta A.M.,2026*,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Cúcuta A.M.,2026*,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Ibagué,2023,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Ibagué,2023,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Ibagué,2024,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Ibagué,2024,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Ibagué,2025,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Ibagué,2025,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Ibagué,2026*,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Ibagué,2026*,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Pasto,2023,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Pasto,2023,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Pasto,2024,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Pasto,2024,Valor de venta,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
SENSIBILIDAD_OUTLIERS,Pasto,2025,Canon de arriendo,APROBADO,mediana estable ante winsorizacion P99 (cambio 0.000%)
