ciudad,anio,indicador,valor_pct,error_estandar,ic95_inf,ic95_sup,deff,n_muestral,cv_pct,etiqueta_confiabilidad,nota
Cali A.M.,2025,Deficit habitacional cualitativo,9.1536,1.8883,5.4526,12.8547,3.001,781,20.63,PRECAUCION,
Cali A.M.,2025,Componente: hacinamiento mitigable,5.9793,1.3866,3.2616,8.6971,2.393,781,23.19,PRECAUCION,
Cali A.M.,2025,Componente: alcantarillado o sanitario inadecuado,0.9876,0.9858,0.0,2.9197,6.954,781,99.81,NO PUBLICAR,
Cali A.M.,2025,Componente: sin acueducto,0.9876,0.9858,0.0,2.9197,6.954,781,99.81,NO PUBLICAR,
Cali A.M.,2025,Componente: lugar inadecuado para cocinar,2.6323,0.9569,0.7568,4.5078,2.5,781,36.35,NO PUBLICAR,
Cali A.M.,2025,Componente: sin recoleccion de basuras,0.9876,0.9858,0.0,2.9197,6.954,781,99.81,NO PUBLICAR,
Cali A.M.,2025,Paredes en material inadecuado,0.8103,0.4973,0.0,1.7849,2.153,781,61.37,NO PUBLICAR,
Cali A.M.,2025,"Pisos de tierra, arena o barro",0.0,,0.0,0.4287,,781,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.43%
Cali A.M.,2025,Hogares en estrato 1 o 2,49.6238,5.6746,38.5016,60.7461,9.014,781,11.44,ACEPTABLE,
Cali A.M.,2025,Hogares en estrato 3,30.2079,4.9795,20.4481,39.9677,8.23,781,16.48,PRECAUCION,
Cali A.M.,2025,"Hogares en estrato 4, 5 o 6",18.7249,4.3617,10.1761,27.2737,8.748,781,23.29,PRECAUCION,
Cali A.M.,2025,Hogares sin estrato o no informa,1.4433,1.4406,0.0,4.267,10.21,781,99.81,NO PUBLICAR,
Barranquilla A.M.,2025,Deficit habitacional total,16.5384,2.4089,11.8169,21.26,3.322,903,14.57,ACEPTABLE,
Barranquilla A.M.,2025,Deficit habitacional cuantitativo,1.1784,0.5191,0.1609,2.1959,1.829,903,44.06,NO PUBLICAR,
Barranquilla A.M.,2025,Deficit habitacional cualitativo,15.36,2.2886,10.8743,19.8457,3.183,903,14.9,ACEPTABLE,
Barranquilla A.M.,2025,Componente: hacinamiento mitigable,12.4997,1.6972,9.1731,15.8263,2.081,903,13.58,ACEPTABLE,
Barranquilla A.M.,2025,Componente: alcantarillado o sanitario inadecuado,3.5719,1.9759,0.0,7.4447,8.957,903,55.32,NO PUBLICAR,
Barranquilla A.M.,2025,Componente: sin acueducto,0.1523,0.1523,0.0,0.4507,1.205,903,99.98,NO PUBLICAR,
Barranquilla A.M.,2025,Componente: lugar inadecuado para cocinar,0.7496,0.2837,0.1935,1.3057,0.855,903,37.85,NO PUBLICAR,
Barranquilla A.M.,2025,Componente: sin recoleccion de basuras,0.3416,0.3396,0.0,1.0073,2.677,903,99.42,NO PUBLICAR,
Barranquilla A.M.,2025,Paredes en material inadecuado,0.5596,0.3594,0.0,1.264,1.835,903,64.23,NO PUBLICAR,
Barranquilla A.M.,2025,"Pisos de tierra, arena o barro",0.5355,0.239,0.067,1.004,0.848,903,44.64,NO PUBLICAR,
Barranquilla A.M.,2025,Hogares en estrato 1 o 2,73.2646,3.9436,65.5352,80.994,6.274,903,5.38,ACEPTABLE,
Barranquilla A.M.,2025,Hogares en estrato 3,14.6923,3.3349,8.1559,21.2287,7.011,903,22.7,PRECAUCION,
Barranquilla A.M.,2025,"Hogares en estrato 4, 5 o 6",11.4307,2.8487,5.8472,17.0142,6.334,903,24.92,PRECAUCION,
Barranquilla A.M.,2025,Hogares sin estrato o no informa,0.6124,0.4203,0.0,1.4361,2.293,903,68.63,NO PUBLICAR,
Bucaramanga A.M.,2025,Deficit habitacional total,6.6076,1.3587,3.9445,9.2707,2.29,813,20.56,PRECAUCION,
Bucaramanga A.M.,2025,Deficit habitacional cuantitativo,0.9861,0.9847,0.0,2.9161,7.6,813,99.85,NO PUBLICAR,
Bucaramanga A.M.,2025,Deficit habitacional cualitativo,5.6215,1.0198,3.6227,7.6203,1.5,813,18.14,PRECAUCION,
Bucaramanga A.M.,2025,Componente: hacinamiento mitigable,5.4025,0.9093,3.6202,7.1848,1.238,813,16.83,PRECAUCION,
Bucaramanga A.M.,2025,Componente: alcantarillado o sanitario inadecuado,0.0,,0.0,0.392,,813,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.39%
Bucaramanga A.M.,2025,Componente: sin acueducto,0.0,,0.0,0.392,,813,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.39%
Bucaramanga A.M.,2025,Componente: lugar inadecuado para cocinar,0.3357,0.2482,0.0,0.8222,1.409,813,73.93,NO PUBLICAR,
Bucaramanga A.M.,2025,Componente: sin recoleccion de basuras,0.0,,0.0,0.392,,813,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.39%
Bucaramanga A.M.,2025,Paredes en material inadecuado,0.9861,0.9847,0.0,2.9161,7.6,813,99.85,NO PUBLICAR,
Bucaramanga A.M.,2025,"Pisos de tierra, arena o barro",0.7307,0.7296,0.0,2.1607,5.617,813,99.85,NO PUBLICAR,
Bucaramanga A.M.,2025,Hogares en estrato 1 o 2,44.5564,5.6824,33.419,55.6938,10.003,813,12.75,ACEPTABLE,
Bucaramanga A.M.,2025,Hogares en estrato 3,30.7675,5.2943,20.3907,41.1442,10.071,813,17.21,PRECAUCION,
Bucaramanga A.M.,2025,"Hogares en estrato 4, 5 o 6",24.6761,4.7208,15.4234,33.9288,9.176,813,19.13,PRECAUCION,
Bucaramanga A.M.,2025,Hogares sin estrato o no informa,0.0,,0.0,0.392,,813,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.39%
Manizales A.M.,2025,Deficit habitacional total,6.7433,1.8722,3.0738,10.4128,3.705,782,27.76,NO PUBLICAR,
Manizales A.M.,2025,Deficit habitacional cuantitativo,2.238,1.1362,0.0111,4.465,3.922,782,50.77,NO PUBLICAR,
Manizales A.M.,2025,Deficit habitacional cualitativo,4.5052,1.3214,1.9152,7.0953,2.698,782,29.33,NO PUBLICAR,
Manizales A.M.,2025,Componente: hacinamiento mitigable,1.9718,0.7353,0.5306,3.4129,1.859,782,37.29,NO PUBLICAR,
Manizales A.M.,2025,Componente: alcantarillado o sanitario inadecuado,0.9238,0.925,0.0,2.7369,6.215,782,100.13,NO PUBLICAR,
Manizales A.M.,2025,Componente: sin acueducto,0.0975,0.0976,0.0,0.2888,0.65,782,100.05,NO PUBLICAR,
Manizales A.M.,2025,Componente: lugar inadecuado para cocinar,1.5121,0.4886,0.5544,2.4699,1.066,782,32.31,NO PUBLICAR,
Manizales A.M.,2025,Componente: sin recoleccion de basuras,0.0,,0.0,0.4513,,782,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.45%
Manizales A.M.,2025,Paredes en material inadecuado,1.8815,0.8819,0.1529,3.6101,2.801,782,46.87,NO PUBLICAR,
Manizales A.M.,2025,"Pisos de tierra, arena o barro",0.0,,0.0,0.4513,,782,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.45%
Manizales A.M.,2025,Hogares en estrato 1 o 2,34.1303,5.0975,24.1392,44.1215,7.684,782,14.94,ACEPTABLE,
Manizales A.M.,2025,Hogares en estrato 3,40.5826,5.156,30.4769,50.6883,7.329,782,12.7,ACEPTABLE,
Manizales A.M.,2025,"Hogares en estrato 4, 5 o 6",25.1189,4.6723,15.9611,34.2767,7.716,782,18.6,PRECAUCION,
Manizales A.M.,2025,Hogares sin estrato o no informa,0.1682,0.1674,0.0,0.4962,1.109,782,99.53,NO PUBLICAR,
Pereira A.M.,2025,Deficit habitacional total,6.0944,1.3388,3.4704,8.7185,2.137,793,21.97,PRECAUCION,
Pereira A.M.,2025,Deficit habitacional cuantitativo,0.3729,0.2759,0.0,0.9136,1.398,793,73.98,NO PUBLICAR,
Pereira A.M.,2025,Deficit habitacional cualitativo,5.7215,1.2417,3.2879,8.1552,1.95,793,21.7,PRECAUCION,
Pereira A.M.,2025,Componente: hacinamiento mitigable,4.6501,1.1613,2.3739,6.9262,2.075,793,24.97,PRECAUCION,
Pereira A.M.,2025,Componente: alcantarillado o sanitario inadecuado,0.1273,0.1273,0.0,0.3768,0.869,793,99.96,NO PUBLICAR,
Pereira A.M.,2025,Componente: sin acueducto,0.0,,0.0,0.4397,,793,,PRECAUCION,sin casos en la muestra; el IC95 llega hasta 0.44%
