ciudad_nombre,indicador,unidad,valor_2026_parcial,valor_2025_completo,valor_2025_homogeneo,variacion_ingenua,variacion_homogenea,sesgo_estacional,meses_comparados,nota
Valledupar,Canon mediano de arriendo,%,500000.0,500000.0,479218.95,0.0,4.34,-4.34,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Valledupar,% hacinamiento (>3 pers/cuarto dormir),pp,3.42,4.75,4.38,-1.33,-0.96,-0.38,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Popayán,% en arriendo,pp,44.18,45.25,44.69,-1.07,-0.51,-0.56,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Popayán,% propia totalmente pagada,pp,30.0,29.26,29.46,0.74,0.55,0.2,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Popayán,Canon mediano de arriendo,%,600000.0,500000.0,500000.0,20.0,20.0,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Popayán,% hacinamiento (>3 pers/cuarto dormir),pp,0.68,0.95,0.9,-0.27,-0.21,-0.06,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Tunja,% en arriendo,pp,50.0,50.96,51.61,-0.96,-1.61,0.65,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Tunja,% propia totalmente pagada,pp,29.63,29.3,28.77,0.33,0.85,-0.52,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Tunja,Canon mediano de arriendo,%,700000.0,600000.0,600000.0,16.67,16.67,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Tunja,% hacinamiento (>3 pers/cuarto dormir),pp,0.25,0.82,0.89,-0.57,-0.64,0.07,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Riohacha,% en arriendo,pp,48.05,47.77,48.95,0.28,-0.91,1.19,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Riohacha,% propia totalmente pagada,pp,17.74,17.36,16.52,0.38,1.21,-0.83,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Riohacha,Canon mediano de arriendo,%,450000.0,400000.0,400000.0,12.5,12.5,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Riohacha,% hacinamiento (>3 pers/cuarto dormir),pp,8.49,8.07,7.97,0.42,0.52,-0.1,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Florencia,% en arriendo,pp,48.4,49.79,48.0,-1.39,0.4,-1.79,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Florencia,% propia totalmente pagada,pp,22.6,22.83,23.51,-0.24,-0.91,0.67,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Florencia,Canon mediano de arriendo,%,450000.0,400000.0,400000.0,12.5,12.5,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Florencia,% hacinamiento (>3 pers/cuarto dormir),pp,1.44,1.99,2.29,-0.55,-0.86,0.3,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Quibdó,% en arriendo,pp,35.56,32.82,31.89,2.74,3.67,-0.93,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Quibdó,% propia totalmente pagada,pp,28.91,28.48,27.23,0.43,1.68,-1.24,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Quibdó,Canon mediano de arriendo,%,450000.0,350000.0,350000.0,28.57,28.57,0.0,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
Quibdó,% hacinamiento (>3 pers/cuarto dormir),pp,1.71,1.95,1.89,-0.25,-0.18,-0.06,"1,2,3,4,5,6",Solo variacion_homogenea es publicable (Principio V)
