ciudad_nombre,area_hipotesis,area_confirmada,anio,mes,registros,hogares_unicos,duplicados_hogar,suma_fex_c18,suma_fex_c18_dedup,dif_fex_dedup,pct_dpto_esperado,pct_clase1,estado_geografico,observacion
Tunja,15,15,2023,Enero,602,602,0,61922.0,61922.0,0.0,100.0,100.0,VALIDO,
Riohacha,44,44,2023,Enero,554,554,0,48244.0,48244.0,0.0,100.0,100.0,VALIDO,
Florencia,18,18,2023,Enero,604,604,0,57188.0,57188.0,0.0,100.0,100.0,VALIDO,
Quibdó,27,27,2023,Enero,752,752,0,36990.0,36990.0,0.0,100.0,100.0,VALIDO,
Bogotá D.C.,11,11,2023,Febrero,792,792,0,2952994.0,2952994.0,0.0,100.0,100.0,VALIDO,
Medellín A.M.,05,05,2023,Febrero,1032,1032,0,1454535.0,1454535.0,0.0,100.0,100.0,VALIDO,
Cali A.M.,76,76,2023,Febrero,936,936,0,792151.0,792151.0,0.0,100.0,100.0,VALIDO,
Barranquilla A.M.,08,08,2023,Febrero,694,694,0,561544.0,561544.0,0.0,100.0,100.0,VALIDO,
Bucaramanga A.M.,68,68,2023,Febrero,738,738,0,414987.0,414987.0,0.0,100.0,100.0,VALIDO,
Manizales A.M.,17,17,2023,Febrero,947,947,0,177273.0,177273.0,0.0,100.0,100.0,VALIDO,
Pereira A.M.,66,66,2023,Febrero,950,950,0,235657.0,235657.0,0.0,100.0,100.0,VALIDO,
Cúcuta A.M.,54,54,2023,Febrero,744,744,0,308438.0,308438.0,0.0,100.0,100.0,VALIDO,
Ibagué,73,73,2023,Febrero,593,593,0,189315.0,189315.0,0.0,100.0,100.0,VALIDO,
Pasto,52,52,2023,Febrero,744,744,0,110243.0,110243.0,0.0,100.0,100.0,VALIDO,
Villavicencio,50,50,2023,Febrero,670,670,0,183203.0,183203.0,0.0,100.0,100.0,VALIDO,
Montería,23,23,2023,Febrero,503,503,0,134598.0,134598.0,0.0,100.0,100.0,VALIDO,
Cartagena,13,13,2023,Febrero,744,744,0,294678.0,294678.0,0.0,100.0,100.0,VALIDO,
Neiva,41,41,2023,Febrero,655,655,0,116808.0,116808.0,0.0,100.0,100.0,VALIDO,
Armenia,63,63,2023,Febrero,749,749,0,110923.0,110923.0,0.0,100.0,100.0,VALIDO,
Santa Marta,47,47,2023,Febrero,654,654,0,148432.0,148432.0,0.0,100.0,100.0,VALIDO,
Sincelejo,70,70,2023,Febrero,580,580,0,78251.0,78251.0,0.0,100.0,100.0,VALIDO,
Valledupar,20,20,2023,Febrero,568,568,0,146210.0,146210.0,0.0,100.0,100.0,VALIDO,
Popayán,19,19,2023,Febrero,720,720,0,105103.0,105103.0,0.0,100.0,100.0,VALIDO,
Tunja,15,15,2023,Febrero,658,658,0,62033.0,62033.0,0.0,100.0,100.0,VALIDO,
Riohacha,44,44,2023,Febrero,606,606,0,48403.0,48403.0,0.0,100.0,100.0,VALIDO,
Florencia,18,18,2023,Febrero,607,607,0,57341.0,57341.0,0.0,100.0,100.0,VALIDO,
Quibdó,27,27,2023,Febrero,727,727,0,37071.0,37071.0,0.0,100.0,100.0,VALIDO,
Bogotá D.C.,11,11,2023,Julio,843,843,0,2984531.0,2984531.0,0.0,100.0,100.0,VALIDO,
Medellín A.M.,05,05,2023,Julio,1020,1020,0,1475187.0,1475187.0,0.0,100.0,100.0,VALIDO,
Cali A.M.,76,76,2023,Julio,910,910,0,799236.0,799236.0,0.0,100.0,100.0,VALIDO,
Barranquilla A.M.,08,08,2023,Julio,639,639,0,567688.0,567688.0,0.0,100.0,100.0,VALIDO,
Bucaramanga A.M.,68,68,2023,Julio,718,718,0,418979.0,418979.0,0.0,100.0,100.0,VALIDO,
Manizales A.M.,17,17,2023,Julio,953,953,0,179010.0,179010.0,0.0,100.0,100.0,VALIDO,
Pereira A.M.,66,66,2023,Julio,944,944,0,238105.0,238105.0,0.0,100.0,100.0,VALIDO,
Cúcuta A.M.,54,54,2023,Julio,687,687,0,311105.0,311105.0,0.0,100.0,100.0,VALIDO,
Ibagué,73,73,2023,Julio,578,578,0,190787.0,190787.0,0.0,100.0,100.0,VALIDO,
Pasto,52,52,2023,Julio,706,706,0,111180.0,111180.0,0.0,100.0,100.0,VALIDO,
Villavicencio,50,50,2023,Julio,677,677,0,184918.0,184918.0,0.0,100.0,100.0,VALIDO,
Montería,23,23,2023,Julio,515,515,0,136071.0,136071.0,0.0,100.0,100.0,VALIDO,
Cartagena,13,13,2023,Julio,733,733,0,297939.0,297939.0,0.0,100.0,100.0,VALIDO,
Neiva,41,41,2023,Julio,641,641,0,117965.0,117965.0,0.0,100.0,100.0,VALIDO,
Armenia,63,63,2023,Julio,742,742,0,112102.0,112102.0,0.0,100.0,100.0,VALIDO,
Santa Marta,47,47,2023,Julio,627,627,0,150024.0,150024.0,0.0,100.0,100.0,VALIDO,
Sincelejo,70,70,2023,Julio,581,581,0,79104.0,79104.0,0.0,100.0,100.0,VALIDO,
Valledupar,20,20,2023,Julio,590,590,0,148089.0,148089.0,0.0,100.0,100.0,VALIDO,
Popayán,19,19,2023,Julio,695,695,0,106236.0,106236.0,0.0,100.0,100.0,VALIDO,
Tunja,15,15,2023,Julio,633,633,0,62588.0,62588.0,0.0,100.0,100.0,VALIDO,
Riohacha,44,44,2023,Julio,578,578,0,49179.0,49179.0,0.0,100.0,100.0,VALIDO,
Florencia,18,18,2023,Julio,663,663,0,58101.0,58101.0,0.0,100.0,100.0,VALIDO,
Quibdó,27,27,2023,Julio,700,700,0,37468.0,37468.0,0.0,100.0,100.0,VALIDO,
Bogotá D.C.,11,11,2023,Junio,796,796,0,2978189.0,2978189.0,0.0,100.0,100.0,VALIDO,
Medellín A.M.,05,05,2023,Junio,1000,1000,0,1471146.0,1471146.0,0.0,100.0,100.0,VALIDO,
Cali A.M.,76,76,2023,Junio,904,904,0,797823.0,797823.0,0.0,100.0,100.0,VALIDO,
Barranquilla A.M.,08,08,2023,Junio,662,662,0,566434.0,566434.0,0.0,100.0,100.0,VALIDO,
Bucaramanga A.M.,68,68,2023,Junio,798,798,0,418147.0,418147.0,0.0,100.0,100.0,VALIDO,
Manizales A.M.,17,17,2023,Junio,944,944,0,178647.0,178647.0,0.0,100.0,100.0,VALIDO,
Pereira A.M.,66,66,2023,Junio,917,917,0,237628.0,237628.0,0.0,100.0,100.0,VALIDO,
Cúcuta A.M.,54,54,2023,Junio,701,701,0,310575.0,310575.0,0.0,100.0,100.0,VALIDO,
Ibagué,73,73,2023,Junio,564,564,0,190488.0,190488.0,0.0,100.0,100.0,VALIDO,
Pasto,52,52,2023,Junio,707,707,0,110998.0,110998.0,0.0,100.0,100.0,VALIDO,
Villavicencio,50,50,2023,Junio,673,673,0,184584.0,184584.0,0.0,100.0,100.0,VALIDO,
Montería,23,23,2023,Junio,495,495,0,135807.0,135807.0,0.0,100.0,100.0,VALIDO,
Cartagena,13,13,2023,Junio,747,747,0,297315.0,297315.0,0.0,100.0,100.0,VALIDO,
Neiva,41,41,2023,Junio,606,606,0,117763.0,117763.0,0.0,100.0,100.0,VALIDO,
Armenia,63,63,2023,Junio,707,707,0,111876.0,111876.0,0.0,100.0,100.0,VALIDO,
Santa Marta,47,47,2023,Junio,642,642,0,149718.0,149718.0,0.0,100.0,100.0,VALIDO,
Sincelejo,70,70,2023,Junio,626,626,0,78951.0,78951.0,0.0,100.0,100.0,VALIDO,
Valledupar,20,20,2023,Junio,590,590,0,147723.0,147723.0,0.0,100.0,100.0,VALIDO,
Popayán,19,19,2023,Junio,688,688,0,106030.0,106030.0,0.0,100.0,100.0,VALIDO,
Tunja,15,15,2023,Junio,629,629,0,62473.0,62473.0,0.0,100.0,100.0,VALIDO,
Riohacha,44,44,2023,Junio,550,550,0,49024.0,49024.0,0.0,100.0,100.0,VALIDO,
Florencia,18,18,2023,Junio,647,647,0,57943.0,57943.0,0.0,100.0,100.0,VALIDO,
Quibdó,27,27,2023,Junio,655,655,0,37396.0,37396.0,0.0,100.0,100.0,VALIDO,
Bogotá D.C.,11,11,2023,Marzo,768,768,0,2959357.0,2959357.0,0.0,100.0,100.0,VALIDO,
Medellín A.M.,05,05,2023,Marzo,1023,1023,0,1458756.0,1458756.0,0.0,100.0,100.0,VALIDO,
Cali A.M.,76,76,2023,Marzo,910,910,0,793579.0,793579.0,0.0,100.0,100.0,VALIDO,
Barranquilla A.M.,08,08,2023,Marzo,679,679,0,562779.0,562779.0,0.0,100.0,100.0,VALIDO,
Bucaramanga A.M.,68,68,2023,Marzo,757,757,0,415783.0,415783.0,0.0,100.0,100.0,VALIDO,
Manizales A.M.,17,17,2023,Marzo,969,969,0,177619.0,177619.0,0.0,100.0,100.0,VALIDO,
Pereira A.M.,66,66,2023,Marzo,967,967,0,236154.0,236154.0,0.0,100.0,100.0,VALIDO,
Cúcuta A.M.,54,54,2023,Marzo,730,730,0,308974.0,308974.0,0.0,100.0,100.0,VALIDO,
Ibagué,73,73,2023,Marzo,588,588,0,189610.0,189610.0,0.0,100.0,100.0,VALIDO,
Pasto,52,52,2023,Marzo,726,726,0,110433.0,110433.0,0.0,100.0,100.0,VALIDO,
Villavicencio,50,50,2023,Marzo,695,695,0,183551.0,183551.0,0.0,100.0,100.0,VALIDO,
Montería,23,23,2023,Marzo,505,505,0,134904.0,134904.0,0.0,100.0,100.0,VALIDO,
Cartagena,13,13,2023,Marzo,756,756,0,295345.0,295345.0,0.0,100.0,100.0,VALIDO,
Neiva,41,41,2023,Marzo,672,672,0,117048.0,117048.0,0.0,100.0,100.0,VALIDO,
Armenia,63,63,2023,Marzo,727,727,0,111163.0,111163.0,0.0,100.0,100.0,VALIDO,
Santa Marta,47,47,2023,Marzo,645,645,0,148757.0,148757.0,0.0,100.0,100.0,VALIDO,
Sincelejo,70,70,2023,Marzo,579,579,0,78428.0,78428.0,0.0,100.0,100.0,VALIDO,
Valledupar,20,20,2023,Marzo,567,567,0,146593.0,146593.0,0.0,100.0,100.0,VALIDO,
Popayán,19,19,2023,Marzo,741,741,0,105337.0,105337.0,0.0,100.0,100.0,VALIDO,
Tunja,15,15,2023,Marzo,655,655,0,62144.0,62144.0,0.0,100.0,100.0,VALIDO,
Riohacha,44,44,2023,Marzo,596,596,0,48561.0,48561.0,0.0,100.0,100.0,VALIDO,
Florencia,18,18,2023,Marzo,662,662,0,57494.0,57494.0,0.0,100.0,100.0,VALIDO,
Quibdó,27,27,2023,Marzo,723,723,0,37154.0,37154.0,0.0,100.0,100.0,VALIDO,
Bogotá D.C.,11,11,2023,Mayo,811,811,0,2971969.0,2971969.0,0.0,100.0,100.0,VALIDO,
Medellín A.M.,05,05,2023,Mayo,987,987,0,1467070.0,1467070.0,0.0,100.0,100.0,VALIDO,
Cali A.M.,76,76,2023,Mayo,914,914,0,796419.0,796419.0,0.0,100.0,100.0,VALIDO,
Barranquilla A.M.,08,08,2023,Mayo,639,639,0,565228.0,565228.0,0.0,100.0,100.0,VALIDO,
Bucaramanga A.M.,68,68,2023,Mayo,736,736,0,417363.0,417363.0,0.0,100.0,100.0,VALIDO,
Manizales A.M.,17,17,2023,Mayo,942,942,0,178307.0,178307.0,0.0,100.0,100.0,VALIDO,
Pereira A.M.,66,66,2023,Mayo,931,931,0,237141.0,237141.0,0.0,100.0,100.0,VALIDO,
Cúcuta A.M.,54,54,2023,Mayo,706,706,0,310045.0,310045.0,0.0,100.0,100.0,VALIDO,
Ibagué,73,73,2023,Mayo,574,574,0,190196.0,190196.0,0.0,100.0,100.0,VALIDO,
Pasto,52,52,2023,Mayo,692,692,0,110812.0,110812.0,0.0,100.0,100.0,VALIDO,
Villavicencio,50,50,2023,Mayo,642,642,0,184241.0,184241.0,0.0,100.0,100.0,VALIDO,
Montería,23,23,2023,Mayo,521,521,0,135509.0,135509.0,0.0,100.0,100.0,VALIDO,
Cartagena,13,13,2023,Mayo,762,762,0,296665.0,296665.0,0.0,100.0,100.0,VALIDO,
Neiva,41,41,2023,Mayo,634,634,0,117527.0,117527.0,0.0,100.0,100.0,VALIDO,
Armenia,63,63,2023,Mayo,708,708,0,111640.0,111640.0,0.0,100.0,100.0,VALIDO,
Santa Marta,47,47,2023,Mayo,659,659,0,149401.0,149401.0,0.0,100.0,100.0,VALIDO,
Sincelejo,70,70,2023,Mayo,585,585,0,78779.0,78779.0,0.0,100.0,100.0,VALIDO,
Valledupar,20,20,2023,Mayo,560,560,0,147351.0,147351.0,0.0,100.0,100.0,VALIDO,
Popayán,19,19,2023,Mayo,708,708,0,105801.0,105801.0,0.0,100.0,100.0,VALIDO,
Tunja,15,15,2023,Mayo,645,645,0,62364.0,62364.0,0.0,100.0,100.0,VALIDO,
Riohacha,44,44,2023,Mayo,579,579,0,48872.0,48872.0,0.0,100.0,100.0,VALIDO,
Florencia,18,18,2023,Mayo,631,631,0,57796.0,57796.0,0.0,100.0,100.0,VALIDO,
Quibdó,27,27,2023,Mayo,682,682,0,37316.0,37316.0,0.0,100.0,100.0,VALIDO,
Bogotá D.C.,11,11,2023,Noviembre,772,772,0,3011288.0,3011288.0,0.0,100.0,100.0,VALIDO,
Medellín A.M.,05,05,2023,Noviembre,1007,1007,0,1492091.0,1492091.0,0.0,100.0,100.0,VALIDO,
Cali A.M.,76,76,2023,Noviembre,855,855,0,805057.0,805057.0,0.0,100.0,100.0,VALIDO,
Barranquilla A.M.,08,08,2023,Noviembre,640,640,0,573090.0,573090.0,0.0,100.0,100.0,VALIDO,
Bucaramanga A.M.,68,68,2023,Noviembre,751,751,0,422622.0,422622.0,0.0,100.0,100.0,VALIDO,
Manizales A.M.,17,17,2023,Noviembre,964,964,0,180607.0,180607.0,0.0,100.0,100.0,VALIDO,
Pereira A.M.,66,66,2023,Noviembre,886,886,0,240024.0,240024.0,0.0,100.0,100.0,VALIDO,
Cúcuta A.M.,54,54,2023,Noviembre,702,702,0,313271.0,313271.0,0.0,100.0,100.0,VALIDO,
Ibagué,73,73,2023,Noviembre,552,552,0,192039.0,192039.0,0.0,100.0,100.0,VALIDO,
Pasto,52,52,2023,Noviembre,695,695,0,111888.0,111888.0,0.0,100.0,100.0,VALIDO,
Villavicencio,50,50,2023,Noviembre,671,671,0,186258.0,186258.0,0.0,100.0,100.0,VALIDO,
Montería,23,23,2023,Noviembre,484,484,0,137015.0,137015.0,0.0,100.0,100.0,VALIDO,
Cartagena,13,13,2023,Noviembre,701,701,0,300410.0,300410.0,0.0,100.0,100.0,VALIDO,
Neiva,41,41,2023,Noviembre,613,613,0,118657.0,118657.0,0.0,100.0,100.0,VALIDO,
Armenia,63,63,2023,Noviembre,714,714,0,113004.0,113004.0,0.0,100.0,100.0,VALIDO,
Santa Marta,47,47,2023,Noviembre,640,640,0,151237.0,151237.0,0.0,100.0,100.0,VALIDO,
Sincelejo,70,70,2023,Noviembre,583,583,0,79651.0,79651.0,0.0,100.0,100.0,VALIDO,
Valledupar,20,20,2023,Noviembre,567,567,0,149590.0,149590.0,0.0,100.0,100.0,VALIDO,
Popayán,19,19,2023,Noviembre,721,721,0,106993.0,106993.0,0.0,100.0,100.0,VALIDO,
Tunja,15,15,2023,Noviembre,630,630,0,63075.0,63075.0,0.0,100.0,100.0,VALIDO,
Riohacha,44,44,2023,Noviembre,565,565,0,49855.0,49855.0,0.0,100.0,100.0,VALIDO,
Florencia,18,18,2023,Noviembre,661,661,0,58794.0,58794.0,0.0,100.0,100.0,VALIDO,
Quibdó,27,27,2023,Noviembre,660,660,0,37728.0,37728.0,0.0,100.0,100.0,VALIDO,
Bogotá D.C.,11,11,2023,Octubre,718,718,0,3004511.0,3004511.0,0.0,100.0,100.0,VALIDO,
Medellín A.M.,05,05,2023,Octubre,988,988,0,1487786.0,1487786.0,0.0,100.0,100.0,VALIDO,
Cali A.M.,76,76,2023,Octubre,867,867,0,803588.0,803588.0,0.0,100.0,100.0,VALIDO,
Barranquilla A.M.,08,08,2023,Octubre,646,646,0,571719.0,571719.0,0.0,100.0,100.0,VALIDO,
Bucaramanga A.M.,68,68,2023,Octubre,770,770,0,421701.0,421701.0,0.0,100.0,100.0,VALIDO,
Manizales A.M.,17,17,2023,Octubre,925,925,0,180202.0,180202.0,0.0,100.0,100.0,VALIDO,
Pereira A.M.,66,66,2023,Octubre,893,893,0,239538.0,239538.0,0.0,100.0,100.0,VALIDO,
Cúcuta A.M.,54,54,2023,Octubre,647,647,0,312726.0,312726.0,0.0,100.0,100.0,VALIDO,
